price_usd,created_at
396.36,2025-01-14 23:00:21.575469
396.36,2025-01-14 22:10:28.334794
396.36,2025-01-14 21:05:22.866443
403.37,2025-01-14 20:05:20.624394
410.24,2025-01-14 19:00:21.184350
407.22,2025-01-14 18:00:20.065228
405.66,2025-01-14 17:00:22.797869
408.5,2025-01-14 16:00:21.209111
412.74,2025-01-14 15:00:18.690214
403.31,2025-01-14 14:00:21.087361
403.31,2025-01-14 13:00:20.779978
403.31,2025-01-14 12:00:23.955363
403.31,2025-01-14 11:00:15.439807
403.31,2025-01-14 10:53:09.252999
403.31,2025-01-14 10:50:16.980944
403.31,2025-01-14 10:49:53.792854
403.31,2025-01-14 10:26:08.873616
403.31,2025-01-14 10:25:40.389824
403.31,2025-01-14 10:21:06.319546
403.31,2025-01-14 10:00:24.525229
403.31,2025-01-14 09:31:34.748533
403.31,2025-01-14 09:00:29.706084
403.31,2025-01-14 08:00:16.201588
403.31,2025-01-14 07:48:19.653210
403.31,2025-01-14 07:25:42.903021
403.31,2025-01-14 07:14:34.532156
403.31,2025-01-14 07:05:24.179911
403.31,2025-01-14 06:51:02.152198
403.31,2025-01-14 06:49:05.092103
403.31,2025-01-14 06:19:48.538702
